瞓觉为真	睡觉才是
佢噉都做得，真掯	他这样也能干，真有本事。
夜晚黑要注意有坏人嚟掱嘢	晚上要注意有坏人来偷东西。
我本书边个掱咗去呀	我的书谁拿走了?
掹断咗条绳	把绳子拉断了
咪掹住我件衫	别拽着我的衣服。
掼仙	摔铜钱。
揇一下张台有几长	拃一拃这张桌子有多长。
呢张台有四揇几长	这张桌子有四拃多长。
呢两条柱有五揇阔	这两根柱子距离有五步宽。
“一竹篙揇咗一船人”	熟语。一竹竿打了一船人———比喻不分青红皂白
揈咗一捶	打了一拳
插住佢行	扶着他走。
因住插手偷嘢	当心小偷偷东西。
吓到我揗晒	吓得我发抖。
揗嚟揗去	转来转去。
一有人上楼嚟张台就揗揗震	一有人上楼，桌子就颤个不停。
揞住嘴笑	捂着嘴巴笑
揞实唔畀人睇	捂紧不让别人看。
揦拃米饩鸡	抓一把米喂鸡。
石灰水揦得只手好痛	石灰水把手刺激得很疼。
喺柜桶揦出一支笔嚟	从抽屉里摸出一支笔来。
揦下啲粥，唔好畀佢焫底	捞一下( 正在煮的) 粥，别让它煳了。
两文揦住	两块五毛
四毫揦住	四角五分。
将柴揦埋一拃	把柴火搂成一把
揦埋啲筷子	将筷子收拢起来。
要调查研究，咪揦埋就话唔得	要调查研究，别动不动就说不行。
呢啪西瓜，每个揦埋都有十几斤	这些西瓜，每个随便都有十几斤重。
你成日揦埋口面，系唔系好辛苦呀	你整天绷着脸，是不是很难受啊?
我管呢件事真系揦屎上身	我管这件事真是自找麻烦。
呢单嘢真揦手	这件事很难办。
今日嘅事，真叫我揦手唔成势	今天的事真叫我措手不及。
面豉咸到揦脷	豆瓣酱咸得齁苦。
补两个窿仔要一张嘢，太揦脷咯	补两个小洞要一块钱，太贵了
一亩禾成本四十几文，都几揦脷㗎	一亩水稻成本四十多元，算厉害了。
我哋莳田要讲求规格，唔好咁揦西	我们插秧要讲究规格，不要那么马虎。
呢个地方好揦鲊	这个地方很肮脏。
放过死人嘅地方，好揦鲊㗎	放过死人的地方，很不干净的。
揩咗一身油	蹭了一身油
手黐咗漆，揩都揩唔甩	手黐了油漆，擦也擦不掉。
你揩佢点呀	你把他怎么处置啊。
一揪荔枝	一嘟噜荔枝
一揪锁匙	一串钥匙
一揪猪肉	一挂猪肉。
一手揸住	一手抓着
能揸笔又能揸枪	能拿笔又能拿枪
揸起拳头	握着拳头。
揸掣	捏闸。
呢项工作系佢揸嘅	这项工作是他掌管的。
揸拖拉机	开拖拉机。
呢啲图书系佢揸手嘅	这些图书是他掌握的。
呢件事我有几分揸拿	这件事我有几分把握
冇乜揸拿	没有什么把握。
你件衫要揸腰至好睇	你这件衣服腰身要收窄才好看。
呢度边个揸舦呀	这里谁当领导?
你几时学会揸车	你什么时候学会开车?
做呢啲工作好揸颈嘅	干这些工作很受气。
你唔好畀人揸鸡脚呀	你不要被人家抓住把柄啊。
畀佢揼咗好耐	给他磨了好长时间。
揽住个仔	搂着孩子
呢樖树三个人合埋都揽唔过	这棵树三个人合着都抱不过来。
乜嘢事你都揽埋嚟做	什么事情你都包揽起来做。
揽颈巾	围围巾。
揾边个	找谁? 
揾乜嘢	找什么? 
出门揾世界咯	出门谋生去了。
我哋都系揾两餐嘅嗻	我们只不过混口饭吃罢了。
佢早就去揾周公咯	他早就睡觉了。
你即系揾嚟做	你等于白干
揾嚟嬲	自寻烦恼
揾嚟衰	自讨倒霉。
搬嚟搬去，揾嚟辛苦嘅嗻	搬来搬去，自找辛苦罢了。
你想嚟揾着数呀，第度啦	你想来找便宜吗，到别处去吧。
佢想揾笨	他想骗人
注意人哋揾你笨	注意人家骗你
你揾唔到我笨	你骗不了我
想揾笨呀	想讨便宜吗?
两个人揾钱三个人食饭	两个人挣钱三个人生活。
出外便揾钱	外出谋生。
旧时穷人揾食艰难	过去穷人谋生困难。
揿实张纸	把纸摁着。
揿住头噉做	不停地干
揿住头噉睇	头也不抬地看。
搂住一件雨衣	披着一件雨衣。
攞张台布嚟搂住个茶几	拿块桌布来把茶几蒙上。
乌蝇搂过嘅嘢唔好食	苍蝇爬过的东西不能吃。
将两种豆装埋落罐度，搂佢几下就匀喇	把两种豆放进罐里，摇几下就匀了
搂下个盒，睇下里头有冇嘢	摇一下盒子，看里面有没有东西。
只猫成晚唔知几搅吵	这只猫整夜不知多吵闹。
你唔好成日喺度搅生晒	你不要整天在这里胡弄了。
搉头壳	敲脑袋。
要注意啲坏人搏乱呀	要注意坏人浑水摸鱼。
你想搏傻咩	你想靠装疯扮傻从中取利吗?
搏命咁走	拼命地跑
搏晒老命	拼了老命。
你打呢场波真系搏尽喇	你打这场球真是拼尽全力了。
考试唔能够靠搏彩	考试不能靠碰运气。
靠搏懵系唔得嘅	靠人家不留神、不警惕从中取利是不行的!
你咁搏命做，搏边份㖞	你这么拼命地干，图什么呀?
呢个人好好相与，搓圆揿扁都冇所谓	这个人很随和，你怎么打发他都行。
噉搞作唔系几好噃	这么搞法不怎么好吧?
呢几日事情好多，搞唔掂 	这几天事情很多，忙不过来
呢件工作要佢一个人做，怕佢搞唔掂呀	这件工作要他一人干，怕他吃不消
佢仔女多，有啲搞唔掂	他子女多，有点困难。
打烂咗就搞唔掂喇	打破了就不得了了
呢个消息走漏咗就搞唔掂㗎	这个消息泄漏出去就不得了了。
账目搞掂晒未呀	账目弄妥了没有? 
手续搞掂晒咯	手续全部办妥了
我同你搞掂佢	我替你处理好它
感冒食呢啲药一剂搞掂	感冒服这种药一剂就解决问题。
你哋喺度搞搞震，人哋都冇办法休息喇	你们在这儿闹个没完，人家没法休息了。
呢件事畀佢搞汪晒咯	这件事让他给搞黄了。
我同你搞笑嘅嗻	我跟你逗乐罢了。
呢出戏好搞笑	这出戏很好笑。
你喺度搞边科	你在这里搞什么名堂?
唔好畀手指搣人	别用手指捏人家。
搣烂张纸	把纸撕破了。
搦过嚟	拿过来
搦唔喐	拿不动。
搦住一个行李袋	提着一个行李袋
唔该你帮我搦呢樽油	麻烦你帮我提着这瓶油。
呢件行李就搭单请人帮带啦	这件行李就请人捎带吧。
我嘅事唔使你搭口	我的事用不着你帮腔。
我买半斤鱼肉，你就唔好搭头搭尾啦	我买半斤鱼肉，你就别搭给我鱼头鱼尾了。
我哋两人搭档搞就得	我们两人合作搞就行。
喺公司搭食	在公司搭伙。
搰嚟搰去	晃来晃去
一搰支香	把香晃晃。
搲损个面	抓破了脸皮。
佢两个已经搲烂块面咯	他们俩已撕破脸皮闹翻了。
佢办事就系亲戚都敢搲烂块面嘅	他办事就是亲戚也不讲情面的。
摄蚊帐	掖蚊帐
将呢张纸摄入门罅度	把这张纸插进门缝里
摄牙罅	塞牙缝。
摄高张台	把桌子垫高一点。
琴晚畀冷风摄咗一下，好似冻亲	昨晚让冷风吹了一下，好像着了凉。
得两片牛肉，唔够我摄牙罅	只有两片牛肉，不够我塞牙缝。
摄铁吸住好多钉仔	磁铁吸着许多小钉子。
差啲又摆乌龙喇	差一点又弄错了。
嗰个嘢一下就畀人摆平咗	那家伙一下子就给人打倒了。
摆平咗佢	把他收拾了。
呢件事由我嚟摆平	这件事由我来解决。
我摆明车马同你讲啦，我哋有资金，就系人手唔够	我实话告诉你吧，我们有资金，就是人力不够。
呢啲嘢系摆景嘅嗻，冇乜用嘅	这些东西是作摆设用的，没什么用。
点知佢摆款唔认人	谁知他摆起架子不认人。
你噉做，摆白系另有打算嘅	你这样干，明摆着是另有打算的。
你摆白话畀佢听啦	你明白告诉他吧。
睇佢一味摆阔佬，其实冇几多钱嘅	看他尽充阔气，其实没多少钱。
摈麻绳	把麻编成辫子状的绳子
粥太焫，摊冻啲至食	粥太烫，凉凉一点再喝。
癐到佢摊喺张床度	累得他直直地躺在床上。
粥要摊冻至食	粥要凉凉了再喝。
摙好嗰堆衫	把那堆衣服收拾好
将杠里便啲衫摙出嚟	把箱子里面的衣服拿出来
唔该你将啲鸡蛋摙入去	麻烦你把那些鸡蛋放进去。
成日将啲嘢摙嚟摙去做乜呀	整天把东西搬来搬去干什么?
你咁摩抿，落班都做唔完	你动作这么慢，到下班也干不完。
摵住一个袋	提着一个袋子。
摵住佢件衫	揪着他的衣裳。
摵起膊头	抽起肩膀。
摵佢出嚟	把他拉出来。
摷佢一轮	痛打一顿
摷到佢腍晒	把他揍瘪了。
呢种嘢摸埋都要百零二百文	这种东西随便哪一个都要百多二百元
摸埋都有五公斤	一般都有五公斤。
佢一摸杯底就唔知自己姓乜咯	他一喝起酒来就不知道自己姓什么了。
呢次又试摸门钉	这次又找不着人。
摼下个缸听下有冇裂	敲敲那个水缸听听有没有裂
唔好畀雨撇湿啲柴	别让雨把柴火潲湿了
雨撇入屋	雨潲进屋里。
转几个弯就将佢撇甩咗	拐几个弯儿就把他甩掉了。
做嘢要撇脱啲至得	做事情要干脆利落些才行。
撍一支签出嚟	抽一支签出来。
撍猪毛	拔猪毛。
撑开度门	蹬开这门。
你快啲翻去同你老婆撑台脚啦	你赶快回去跟你老婆吃饭吧。
撒散人去揾佢	派人分散去找他。
撚花	玩弄花草。
撚得好靓	打扮得很漂亮。
佢好小气，唔好撚佢	他很小气，别捉弄他。
撚烂咗个气球	把气球捏破了
撚得我咁痛	捏得我这么疼。
撚干嚿海绵	把海绵挤干。
撚颈	卡脖子。
唔好撚化人	别捉弄人
几个人都畀佢撚化晒	几个人都让他捉弄够了。
佢撚嘢嘅嗻，咪理佢	他装样子罢了，别管他
正经啲，唔好撚嘢喇	正经点，别装腔作势了。
种花养鱼佢都好撚手	种花养鱼他都拿手。
你中意撚菜吗	你喜欢弄菜吗?
成日撝起个嘴	整天咧开嘴巴
件衫撝晒	衣服咧开了。
撞亲头壳	碰着脑袋
呢次畀佢撞对咗	这次给他蒙对了。
我去撞下佢	我去迎一迎他。
成日撞口撞面， 好熟	整天见面，很熟。
你嚟我往，大家撞头都冇见到	你来我往，大家擦肩而过都没有看见。
靠撞彩系唔得嘅	靠碰运气是不行的
要靠主观努力，唔好靠撞彩	要靠主观努力，不要靠碰运气。
呢次撞板啰	这次出娄子了
试验几次都撞板	试验几次都失败了。
真撞板，又整烂咗	真糟糕，又弄坏了!
喺门口撞见佢	在门口遇见他
头先我撞见你大佬	刚才我碰见你哥哥。
撞面都冇句话	见面都没说一句打招呼的话。
真撞鬼	真是活见鬼
你撞鬼咩，点解乱嚟㗎	你真是活见鬼，怎么胡来! 
撞鬼，唔见咗添	倒霉，丢了! 
撞鬼，又出猫仔咯	倒霉，又出差错了。
撠过至知	较量过才知( 胜负) 
唔够佢撠	比不过他。
撩咗嗰啲蠄蟧丝网落嚟	把那些蜘蛛网绕下来
撩下佢，等啲糖快啲溶	搅拌一下，让糖快点化。
唔好撩人哋	别招惹人家
撩到佢嬲晒	惹得他生气了。
只老鼠撮一声就捐入窿	老鼠刺棱一下就钻进洞里。
要擏住扒手	要提防着扒手。
佢细个，你擏要下佢	他小，你要让着他一点。
擏住，咪打烂嘢	小心点，别打坏了东西。
擏手擏脚	碍手碍脚
企喺度擏住晒	站在这里太妨碍人了。
公家嘅嘢要特别擏惜至系	公家的东西要特别爱惜才是
搬缸瓦要好擏惜至得	搬缸瓦陶器要很小心才行。
你放胆做，唔使擏手擏脚嘅	你放手干，不必缩手缩脚。
唔好擒咁高	别爬那么高。
睇住嚟， 咪咁擒青	看着点，别那么鲁莽。
咁擒青去边度	这么匆忙去哪儿?
呢个仔最擒骑喇	这孩子最爱爬上爬下。
咁揦鲊嘅嘢，快啲擗咗佢	这么脏的东西，快点扔掉它!
一张报纸擘成两边	一张报纸撕成两边
擘烂件衫	撕破了衣服。
擘开两只脚	叉开腿
擘大个口	张大嘴巴
擘大眼	瞪着眼。
擙嗰朵花落嚟	把那朵花够下来
擙唔到	够不着。
公家嘅嘢坏咗啲啲，佢都擤到乜鬼噉	公家的东西损坏了一点点，他都心疼得不得了。
用咁多钱买呢件嘢，真系擤甩边髀	花那么多钱买这件东西，真心疼!
擦嘢	吃东西。
擸埋支竹啲衫	把竹竿上晾着的衣服收起来
擸埋台面啲资料塞晒入柜桶	把桌面的资料全收起来塞进抽屉里。
擸把草嚟煮饭	搂一把草烧饭
剩番几份杂志都畀佢擸晒咯	剩下的几份杂志都让他搜罗去了
擸光晒	搜刮一空。
擸嘢	抢购东西。
今日报纸我擸咗一眼，未详细睇	今天的报纸我粗粗地看了一下，没有详细看
佢擸咗大家一眼	他向大家扫了一眼。
三步擸埋两步走	三步并作两步走。
呢步擸得好大	这一步跨得很大。
佢部机器擦到擸擸炩	他那台机器擦得锃亮。
呢次运动会佢哋学校擸晒网顶	这次运动会他们学校取得全部第一名
数学同化学比赛佢一个人擸晒网顶	数学和化学比赛他一个人全得第一名。
佢做嘢总系嘅	他做事总是丢三落四的。
攞嚟	拿来
攞咗三件	取了三件。
攞刀斩	用刀砍
攞佢做样	以他作样子。
你讲得几好，但系唔见行动，攞口响嗻	你说得很好，但不见行动，说说而已。
真攞命，打烂咗眼镜添	真要命，把眼镜打破了。
呢份材料都印咗出嚟咯，你重抄佢就攞嚟做啦	这份材料已经印出来了，你还抄就白干了。
你噉做等于攞嚟搞嗻	你这样做等于白干
呢个节目冇乜意思，攞嚟笑嗻	这个节目没什么意思，逗人笑而已。
做埋呢啲事，唔系攞嚟衰	干这些事儿，不是自讨苦吃吗!
想三四日就筑好条基围，攞嚟讲嘅嗻	想三四天就修好堤坝，随便说说罢了。
有车唔坐，行路去，攞嚟辛苦啦	有车不坐，走路去，自找苦吃。
今日你够攞彩咯	今天你出尽风头了。
呢个任务唔完成，影响咗全局，噉唔系攞胆	这个任务完成不了，影响了全局，岂不是要命! 
噉都应承，真系攞胆	那样都答应，真是大胆。
两支烟	两根香烟。
一支支整整日又过咗去咯	东搞西搞一天又过去了。
咁支整做乜呢	那么讲究打扮干什么?
乜咁多支质㗎	怎么那么多名堂的? 
佢系最支质㗎喇	他是最啰唆事的了!
呢个月支长咗	这个月超支了。
嗰啲嘢收喺边度	那些东西藏在哪里?
讲咁耐，收口啦	说那么久了，闭嘴吧。
你收埋唔好畀人睇见	你藏起来，别让别人看见。
食完饭要收埋啲碗碟	吃过饭要收拾碗筷。
佢收尾先嚟	他最后才来
收尾点呀	后来怎么样?
呢部影片收得	这部影片卖座
呢场波唔系点收得	这场球赛收入不大好。
你呢排收心养性唔出去玩喇	你近来收起心思不出去玩儿了?
煲呢啲汤水滚之后再收慢火	煮这种汤水开了之后要用小火。
快啲收手	快点住手。
使乜收收柄柄呢，我唔会要你嘅	何必东藏西藏呢，我不会要你的。
就快收档咯	快要结束了。
你嗰杠嘢快啲收档啦	你那一套快点收起来吧!
收热头咯，就快天黑咯	太阳下山了，天快黑了
而家天热，好迟至收热头	现在是夏天，太阳很晚才下山。
睇你点收科	看你怎么收场。
写大字要一笔过，唔好改	写毛笔字要一笔过，不要描。
呢个臊虾仔重未改名	这个婴儿还没有起名
佢改个乜嘢名好呢	他取个什么名字好呢?
攻鼻芥辣	钻鼻子的芥末。
放低个桶	把桶放下。
放下水啦	通融一下吧
注意放水噃	方便着点儿，啊。
你即管放胆去啦	你尽管放心去吧。
呢个喼放落你度先	这个箱子先存放在你这里。
畀人放飞机	对方失约了。
你系行家，你嚟教路啰	你是行家，你来出点子吧。
你冇把握就咪将啲嘢嚟教飞喇	你没有把握就别拿这些东西来试验了
你投资落去，就等于将钱教飞嗻	你投资下去，就等于拿钱去冒险。
佢喺教馆教书	他在私塾里教书。
敛嘴	( 用舌头) 舔嘴唇。
攞啲钱嚟做散使	拿些钱来做零用。
揾散工做	找零活儿做。
就算你有两度散手亦唔好牙擦	就算你有两下子，也别骄傲。
呢包嘢包得散收收，叫人点拎呢	这包东西包得松松散散，叫人怎么拿呢? 
啲材料散收收，好难整理	这些材料散散的，很难整理。
展览馆琴日散档	展览馆昨天结束了。
畅散纸	破零票
冇散纸续	没有零票找换。
佢敦起个处长款	他摆起个处长的架子。
埋数	结账
赊数	赊账。
计埋条数至瞓	算好这道数学题才睡。
数口讲未掂	价钱还没谈妥
去同佢讲数口	去跟他讲条件。
几百文唔够一个数尾	几百元不够一个零头。
我将佢嘅衰嘢数碗数碟讲晒出嚟	我把他的丑事一五一十数出来。
数还数路还路，买嘢嘅钱一定要畀翻你	借归借，送归送，买东西的钱一定要还给你。
我啲书你唔好整乱晒吓	我的书你别弄乱了啊
整乜嘢鬼呀	搞什么鬼! 
你哋想整边一种花款吖	你们想做哪一种款式呢? 
整个公仔畀细路仔玩下	做个小人儿给小孩玩玩。
修桥整路	修桥补路
我帮你整番好喇	我帮你修理好了。
侵略者整定要失败	侵略者注定要失败。
冇就冇，何必整色水吖	没有就没有，何必装模作样呢
佢系整色水之嘛	他是故作姿态罢了。
唔好整蛊人	不要捉弄人
成日整蛊人，真衰	整天捉弄人，真缺德!
唔好再整蛊弄怪引人笑喇	别再做鬼脸逗人笑了。
唔好成日整鬼人	别整天作弄人。
畀佢搞坏咯，重整鬼整马咩	给他弄坏了，还搞什么!
我好识整𩠌食	我很会弄菜吃。
一文几	一元多
文零两文	块把两块钱。
三几文鸡之嘛	三几块钱罢了。
食斋	吃素
一斋三杂	三荤一素。
斋汤	素汤。
唔好斗呢啲嘢	别碰这些东西
斗得多就烂喇	动得多就坏了。
斗细佬哥	逗小孩。
游水斗游得远	游泳比赛游得远。
唔好专门同人斗气	不要成心跟人家赌气。
呢个工程师确实有料	这位工程师确实有才学。
汤里头有乜料兆	烫里头有些什么料? 
成日坐住，冇乜料兆	整天坐着，没什么可消遣的。
黄斜	黄色斜纹布。
呢张台有啲斜	这张桌子有点倾斜
呢段路好斜	这段路很陡。
落斜	下坡。
斟茶	倒茶
斟豉油	倒酱油。
有啲事想同你斟一下	有些事想跟你商量一下。
佢两个人喺嗰度斟盘	他两人在那里商议
点解你哋琴日斟盘斟噉耐嘅	干吗你们昨天商议那么久?
上山斩柴	上山砍柴
斩断一橛	砍断一截。
斩一文叉烧翻嚟	买一块钱叉烧回来
斩一斤烧肉	买一斤烧肉。
呢间铺头斩人出名呀	这家商店以宰客出名。
斩件后上台	剁成块儿后上桌。
两千文嘅手机你用咗五千文去买，你畀人斩到一颈血咯	两千块的手机你用五千块去买，你让人宰得太厉害了。
畀人呃咗十万文，真系斩到我一颈血咯	让人骗了十万元，真是损失惨重呀!
斫薯藤	剁白薯蔓。
呢度卖鸡蛋断只卖定断斤卖	这里卖鸡蛋是论个儿卖还是论斤卖?
答题要准确，断估唔得	答题要准确，瞎猜是不行的。
食咗几剂药就断尾咯	吃了几服药就全好了。
大家做乜都断抢噉	大家做什么都抢着干。
我断断估计唔到	我万万没想到
佢断断唔会反对	他绝对不会反对。
呢个女系大家闺秀，认真斯文淡定	这个女孩是大家闺秀，确实文雅大方。
新出嘅梗系贵啲嘅嘞	新上市的肯定是贵一点了
按新历年计，今日二十号	按阳历算，今天是二十号。
饮新妇酒	喝喜酒
喺边度摆新妇酒呀	在哪里设喜宴呀?
细路仔新年流流着靓啲	小孩子大过年的穿漂亮点
新年流流咪讲啲唔利市嘅话	大新年的别说不吉利的话。
呢张银纸重新簇簇噉	这张钞票还挺新的。
呢件事新鲜滚热辣，系人都知到	这件事才发生不久，谁都知道。
飞机打咗一个旋就飞走	飞机打了一个旋转就飞走。
我哋噉做无他，只不过为你好之嘛	我们这样做没别的，只不过为了你好罢了。
睇你好似只无头乌蝇噉，要舂去边度	看你像只没有头的苍蝇那样，要闯到哪儿去?
呢件事系假嘅，你哋唔好无头安出脚	这件事是假的，你们不要无中生有
我哋无拳无勇，点同佢斗得过吖	我们势单力薄怎么能跟他们斗呢。
佢无时无候都会嚟㗎	他随时都会来的! 
为乜半夜打电话，无时无候	为什么半夜打电话，也不看白天黑夜。
无端白事笑起嚟	无缘无故笑起来
无端白事打烂佢做乜	无缘无故把它打破了干什么!
呢个细佬哥无端端喊起上嚟	这个小孩无缘无故地哭起来
嗰架汽车无端端坏咗	那辆汽车无缘无故地坏了。
成日坐喺屋企，真无聊赖	整天坐在家里，真无聊。
无谓搞咁多嘢喇	不必搞那么多东西了。
点解无𠸎𠸎就畀佢批评呀	为什么无缘无故就被他批评了?
既然之你同意咗，我就唔反对咯	既然你同意了，我就不反对了。
行咗两日路	走了两天路
边日开会	哪一天开会?
出日头喇	太阳出来了。
日头返工，夜晚返学	白天工作，晚上上学。
日日都要学习	每天都要学习。
呢条咸鱼系旧口嘅	这条咸鱼是不新鲜的。
呢条裂痕系旧口嘅	这条裂缝是原有的。
而家唔同旧底咯	现在跟过去不一样了
旧底呢度系瓦渣岗	从前这里是瓦砾堆。
旧时嘅习惯	过去的习惯。
早排我去咗北京	前些日子我到北京去了。
呢度早时有间屋	这里原来有一所房子。
早时有人揾你	刚才有人找你。
早晨	早上好! 
你今日嚟得咁早晨呀	你今天来得这么早!
早晨流流要着够衫至好	大清早的要穿够衣服才好
早晨流流碰到啲噉嘅嘢	大清早的碰到这样的事情!
佢时不时都会嚟下嘅	他有时会来一下
时不时见佢嚟	常常见他来。
够时候咯	时间到了; 到点了
时候唔够	时间不够
而家系乜时候喇，重唔喐身	现在什么时候了，还不动身?
人手多，时哩沙啦就做好喇	人手多，呼噜哗啦就干完了。
 乜你咁讲时唛㗎	为什么你那么讲究时髦? 
你哋讲乜嘢时文呀	你们说些什么呀? 
我同你讲句时文	我跟你说句话。
时时都喺度	常常都在这儿。
嗰条街好旺	那条街很热闹。
呢间铺头真旺	这家商店生意真好。
我唔明系乜嘢道理	我不明白是什么道理
你明吗	你明白了没有?
明䆲都系你咯，你都唔承认	分明是你了，你都不承认。
你件事易之执啦	你那件事好办。
呢件事易话为	这件事好商量。
呢件事易过借火	这件事容易得很。
写个对易过食生菜啦	写个对联太容易了。
你着得咁异相，同你行埋一拍都映丑我呀	你穿得这么离奇古怪，跟你走在一起连我也显得丑陋了。
你唔守信，映丑咗公司声誉	你不守信用，损害了公司声誉。
全班都畀佢映衰晒喇	全班的形象都让他给败坏了。
为咗朋友我可以昧水舂墙	为了朋友我可以两肋插刀
呢件事佢昧水舂墙都制	这件事冒再大的风险他也干。
是但买一件	随便买一件
佢咁耐都唔嚟，是必有乜嘢事咯	他那么久都不来，也许有什么事了
你噉话咁，佢是必唔高兴咯	你这样说他，他一定不高兴了。
做乜咁晏至嚟呀	干吗那么晚才来? 
咁晏重唔去上班	这么晚了还不去上班? 
三点钟至翻学太晏啰	三点才上学太迟了。
食晏	吃午饭。
食咗晏昼未呀	吃午饭了没有?
瞓晏觉	睡中午觉。
讲晒畀佢听	全告诉他了
大家出晒嚟	大家全都出来了
睇晒本书	看完这本书
鱼畀猫食晒喇	鱼给猫吃光了
面部红晒	脸都红了。
唔该晒	太感谢了。
以前嗰啲嘢有乜值得晒呀	过去那些东西有什么值得夸耀的
佢又唔知喺度晒乜嘞	他又不知在那里显摆什么了。
晒相	洗相片。
佢好中意晒书柜嘅	他说话喜欢掉书袋。
佢见人就晒命	他一碰到别人就炫耀自己。
大家都去做嘢，你就喺度晒命	大家都去工作，你却躺在这里休息。
咪喺度晒嘢啦	别在这里夸耀自己了。
学晓未呀	学会了没有?
琴晚瞓唔好，今早成朝晕酡酡	昨夜睡不好，今天早上总是昏沉沉的。
今年晚造收成几好	今年晚造稻子收成不错。
睇佢一身晦气	看他满身倒霉气色。
呢个人好晦气㗎，唔好揾佢	这个人态度很不好，别找他。
咪想得咁顺利，听暇中间有乜景轰就难搞咯	别想得太顺利，万一中间碰到什么意外就难办了。
晾衫	晾衣服。
晾蚊帐	挂帐子。
着咗件新棉衲，暖粒粒 	穿了件新棉衣，暖暖和和的。
佢暗紧个仔瞓	她正陪着孩子睡。
我暴暴一睇，差啲唔认得	我乍一看，差点认不出来
佢暴暴嚟，重唔系几习惯	他刚来，还不怎么习惯。
曳货	劣货
曳嘢	次东西
好嘅曳嘅都分一啲	好的赖的都分一点
佢嘅成绩唔曳	他的成绩不差。
佢细个嗰阵最曳喇	他小的时候最淘气了。
呢个办法更之唔妥	这个办法更加不妥。
最多唔要系啦	顶多不要就是了。
边位最尾到嘅	谁最后到的? 
呢排座位系最尾嘅	这排座位是最后的。
呢个月月大，有三十一日	这个月大月，有三十一天。
下个月月小，得三十日	下一个月小月，才三十天。
佢唔记得都有之㗎	他忘掉了也是可能的。
我同佢哋两家有交易	我跟他们互有来往。
呢次大家都有份	这次大家都有份。
你敢去，杀咗你都有份	你敢去，准把你宰了都有可能。
为咗一间屋，大家争到有你冇我噉	为了有一所房子，大家争得你死我活。
咁早就嚟，有冇搞错呀	这么早就来，不对吧? 
咁简单嘅都唔识，有冇搞错呀	这么简单的都不懂，不会吧?
呢件事我自有分数	这件事我心中有数。
呢箩苹果分畀小朋友，够重有剩添	这筐苹果分给小朋友，不但足够还有剩余。
呢件事可能有古怪	这件事可能有蹊跷
我睇佢真系有古怪嘅	我看他真有捉摸不透之处。
呢碟包都有味喇	这碟包子已经馊了。
呢度嘅环境真系有咁好得咁好	这里的环境真是说多好有多好
呢碟菜有咁咸得咁咸	这碟菜说多咸有多咸。
佢有咗喇	她有了喜了。
你以为你好有嘢咩	你以为自己很有本事吗? 
恃住佢有嘢睇唔起人	仗着他有本事瞧不起人。
参观呢个展览会，我觉得有嘢到	参观这个展览会，我觉得有所收获
呢次有嘢到喇，老板真系发奖金喇	这次有好事了，老板真的发奖金了。
几时去参观，有声气吗	什么时候去参观，有消息吗? 
托你买嘅书，有声气未	托你买的书，有着落了吗?
我够有多	我足够而且还富余。
你做事总系有头冇尾，要人帮你执手尾	你做事总是有始无终，要人帮你擦屁股。
做事要有头有尾至得	做事要有始有终才行。
我睇佢系有头有路嘅	我看他是有来头的。
佢系本地有头有面嘅人物	他是本地有地位有声誉的人物。
呢种功夫有姿势冇实际	这种功夫中看不中用。
真有宝	真稀罕! 
乜嘢咁有宝	什么东西那么了不起?
对呢项改革有弹有赞	对这项改革有批评的也有赞扬的。
佢成日提心吊胆，有得震冇得瞓咯	他整天提心吊胆，担惊受怕。
有得𪮳卖	有卖的
有得𪮳你睇	有你瞧的
呢本书有得𪮳借吗	这本书有外借的吗?
佢做呢啲嘢好有心机㗎	他做这样的事很用心的
佢读书几有心机㗎	他读书很专心致志。
呢个任务我有把炮完成	这个任务我有把握完成。
呢笔钱你唔使慌，总之系有拖冇欠	这笔钱你不必担心，总之迟早一定会还的。
有排未轮到	还有很长时间才轮到
有排等	够等的了。
呢件事我有揸拿	这件事我有把握。
呢单生意有数为	这笔生意划得来。
呢篇文章虽然短，但系有料兆噃	这篇文章虽然短，但是有内容啊。
佢想学绣花，平日有啲料兆	她想学绣花，这样日常就有点事情干了。
呢个报告有料到	这个报告有内容。
呢件事边个有术	这件事谁有办法?
呢排我做到有气冇定唞	近来我忙得喘不过气来。
捉棋最有瘾	下棋最有意思
打波最有瘾	打球最过瘾。
呢啲嘢系你嘅? 真有瘾嘞	这些东西是你的? 真有意思!
呢件事大家都有眼睇啦	这件事大家都看见了。
呢单嘢有着数，制得过	这件事有便宜，干得过。
佢有着落喇，我揾到佢嘅地址喇	他有下落了，我找到他的地址了。
需要嘅原料有着落嘞	需要的原料有可靠来源了。
佢几有礼数嘅	他很有礼貌
噉就显得我哋有礼数	这样就显得我们有礼貌。
睇你有神冇气噉，系唔系琴晚失眠呀	看你无精打采的样子，是不是昨晚失眠了?
个盆咁细，倒一桶水落去就够有突咯	这个盆子那么小，倒一桶水下去就足够有余了。
你有符咈搞掂佢吗	你有办法搞好它吗? 
睇佢有乜嘢符咈	看他有什么妙法。
佢做起嘢嚟有纹有路，真唔错	他做起事来头头是道，很不错。
佢系有腰骨嘅，托畀佢冇错嘅	他是值得信赖的，托付给他没有错。
呢个人真有蚁	这个人真奇怪。
买电影票咁多人排队，你睇有行冇	买电影票那么多的人排队，你看有希望吗? 
唔一定有行	不定有希望。
